cvrnum;employees;established;pubyear;liquidityratio;roi;solvencyratio;netturnover;grossprofit;equity;netresult;currency;
10922984;5 - 9;1987;2019;181,72;30,2;38,9;-;2.761;792;509;DKK;
10945283;10 - 19;1987;2019;69,15;-16,4;11,8;-;3.507;1.684;-3.297;DKK;
82033912;20 - 49;1977;2019;105,62;10,8;32,3;-;7.147;13.509;2.960;DKK;
10945445;50 - 99;1987;2019;110,03;1,1;32,5;-;21.997;25.231;113;DKK;
10957281;100 - 199;1987;2019;145,36;22;38,7;-;41.644;38.749;16.751;DKK;
10963230;50 - 99;1987;2019;125,29;3,2;24,6;-;31.175;34.033;746;DKK;
10966094;5 - 9;1987;2019;314,27;18;66,3;-;5.857;5.653;1.187;DKK;
10968402;50 - 99;1987;2019;118,69;5,2;15;-;7.764;6.256;975;DKK;
10977231;200 - 499;1987;2019;180,99;-0,4;68;3.164.465;-;1.687.566;8.777;DKK;
10999731;50 - 99;1987;2019;510,67;6,1;80,3;-;82.773;160.906;9.410;DKK;
11000738;50 - 99;1987;2019;192,62;6,4;67,6;-;45.624;221.249;16.051;DKK;
35396489;2 - 4;2013;2019;727,42;-2,5;87,3;-;1.426;1.904;-44;DKK;
37639451;2 - 4;2016;2019;80,79;1,1;24,1;-;1.206;445;15;DKK;
11060277;1;1987;2019;245,04;-18,7;59,7;-;-5;1.048;-327;DKK;
11064744;20 - 49;1987;2018;93;4;11,2;-;26.375;10.083;46;DKK;
11142087;20 - 49;1987;2019;104,3;2,6;5,3;-;4.066;2.627;233;DKK;
36503335;-;2014;2018;79,64;0;28,5;1.332.350;806.763;242.920;5.150;DKK;
11151582;50 - 99;1987;2019;141,85;-3,8;32,2;-;38.566;28.551;-3.142;DKK;
18890895;20 - 49;1995;2019;130,87;-102,1;17,5;-;9.379;1.219;-5.602;DKK;
11165508;1;1987;2019;94,36;-6,9;29,9;-;298;246;-60;DKK;
11169449;100 - 199;1987;2019;295,88;64,9;68,7;-;140.451;130.182;95.406;DKK;
11209475;100 - 199;1987;2018;127,81;7,4;28,2;-;39.509;7.416;1.459;DKK;
26346614;10 - 19;2001;2018;155,84;4,7;39,5;-;2.360;2.813;331;DKK;
11221033;50 - 99;1987;2019;336,24;24,7;63,4;-;58.713;53.288;15.925;DKK;
11250793;5 - 9;1987;2019;154,32;3,3;55,9;-;2.959;4.967;127;DKK;
11296203;20 - 49;1987;2019;228,7;9,4;60,3;-;20.294;15.763;1.781;DKK;
37519448;5 - 9;2016;2019;106,66;6,9;35,4;-;2.936;2.568;283;DKK;
11350356;-;1881;2019;58,5;3,3;44,6;3.584.000;820.000;4.321.000;1.792.000;DKK;
11361498;10 - 19;1987;2019;166,82;6,1;16,3;-;6.419;4.095;791;DKK;
17235648;5 - 9;1993;2019;282,08;34,2;65;-;4.950;2.609;1.073;DKK;
11373933;200 - 499;1987;2019;426,08;-0,5;83,5;523.793;-;539.097;14.810;DKK;
11423418;200 - 499;1973;2019;124,55;5,2;43,7;1.487.919;163.708;268.507;16.091;DKK;
11454496;10 - 19;1987;2019;189,78;35,5;48,4;-;12.321;5.149;2.858;DKK;
11477607;100 - 199;1987;2019;196,72;25,9;44,3;-;74.306;33.478;14.869;DKK;
11498639;200 - 499;1979;2019;84,43;1,3;11,9;1.012.735;315.873;123.907;9.663;DKK;
37842222;100 - 199;2016;2019;291,33;4,9;83,4;272.059;113.233;343.758;37.534;DKK;
11516203;50 - 99;1987;2019;164,68;8,8;33;-;44.258;23.892;4.630;DKK;
11556779;10 - 19;1987;2020;117,83;5;25,7;-;5.986;5.631;618;DKK;
11562639;50 - 99;1987;2018;120,72;23,6;41,4;-;39.900;16.928;9.109;DKK;
11567673;100 - 199;1987;2019;114,71;6,2;22,1;456.863;101.888;53.408;10.073;DKK;
11572707;100 - 199;1987;2019;81,58;30,2;45;-;67.670;70.110;36.792;DKK;
11573975;50 - 99;1987;2019;250,74;5,4;57,1;-;38.331;19.717;1.423;DKK;
11574033;200 - 499;1987;2019;144,04;10,8;49,9;515.868;133.370;124.629;20.650;DKK;
11576494;20 - 49;1987;2019;135,3;13,4;39,6;-;8.280;2.279;590;DKK;
51457528;500 - 999;1964;2019;82,79;14,1;31,8;997.799;552.741;486.929;154.823;DKK;
11733212;100 - 199;1964;2018;273,19;-0;69,8;150.880;131.091;102.741;-1.326;DKK;
11733247;20 - 49;1988;2019;146,99;11,5;35,3;-;17.203;9.909;2.577;DKK;
11735894;200 - 499;1987;2018;213,97;6,2;57;-;121.742;59.198;7.229;DKK;
